Intervention,Rationale,Notes
Water filtration,"Various contaminants in tap water, including heavy metals, fluoride, byproducts of water decontamination, pharmaceuticals, and minerals that make water “hard,” can contribute to skin inflammation, hormonal disruptions, and mitochondrial dysfunction. ","A whole house filter can be purchased here, a shower filter can be purchased here."
Sleep hygiene practices,The behaviors we have prior to going to sleep have a massive impact on our circadian rhythms and sleep quality.,See the uploaded information on sleep hygiene for more.
Scalp massages,"Scalp massages can help reduce hair loss by increasing blood flow to hair follicles, delivering more oxygen and nutrients needed for growth. They also help reduce tension and mechanical stress in the scalp, which may lower cortisol and improve follicle health. Regular massage may stimulate dermal papilla cells, which play a key role in hair cycling and regeneration. Additionally, it can help break up fibrosis and improve scalp elasticity, potentially creating a more favorable environment for hair growth.","To perform a scalp massage for hair growth, use the pads of your fingers (not nails) and apply gentle to moderate pressure in circular motions across the entire scalp. Focus especially on areas with thinning hair, spending about 1–2 minutes per section. You can do this on dry hair or while applying oils like rosemary or castor oil for added benefits. Aim for 5–10 minutes daily for best results, ideally in the morning or before bed."
Focus on dairy,"Milk and dairy support height growth in young lads by providing a potent mix of calcium, phosphorus, protein, and bioavailable vitamins (like vitamin D and B12), all essential for bone formation and elongation. Dairy also stimulates IGF-1 production, a key growth factor that promotes bone and muscle development during puberty. Regular dairy intake has been associated with increased linear growth in children and adolescents, largely due to its role in boosting both nutrient intake and anabolic hormone signaling.","Aim for 2-3 glasses of milk, and other sources of dairy such as greek yogurt, cottage cheese and cheese."
Whey protein,"Whey protein supports growth in young men by providing a rich source of essential amino acids—especially leucine, which directly stimulates muscle protein synthesis via the mTOR pathway. It boosts IGF-1 levels and supports hormone balance, aiding in muscle and bone development during puberty. Additionally, its rapid absorption and high bioavailability make it ideal for fueling growth, repair, and recovery in physically active or developing bodies.",1-2 scoops in a shake per day
Adrenal cocktail,"An adrenal cocktail is made using a half cup each of coconut water and orange juice, dissolving in a teaspoon of cream of tartar and a pinch of salt. It helps adrenal health by supplying key nutrients involved in adrenal health.

Vitamin C is one of the body’s principle antioxidants, protecting against free radicals and tissue damage. Vitamin C is especially critical for HPA axis function, being released and can become depleted during times of high stress and adrenaline production. Adding additional vitamin C can suppress excessive HPA axis activity and the associated symptoms of stress, as well as lower inflammation. 

Potassium is an essential mineral that helps regulate blood glucose and has key anti-stress effects. Potassium is especially important for the functioning of nerve tissue and is the primary blood pressure lowering mineral.

Sodium from salt helps to lower adrenaline and noradrenaline, along with the HPA axis, by dampening the effects of the renin angiotensin aldosterone system, a stress system in the body that is activated in response to low salt levels.",Drink one of these per day.
UV light therapy,"Narrow band UVB light therapy has been shown repeatedly to benefit multiple chronic skin issues, including eczema and psoriasis, through its antifungal and anti-inflammatory properties.","Apply the light to the skin area of interest for 5-10 minutes, 3 times a week, for at least 3 months. If you burn, reduce the exposure time until you do not. The goal is to get as much UV light exposure as possible to the area without burning."
Mineral baths,"The absorption of numerous micronutrients and the application of heat through the use of concentrated mineral baths has a number of important therapeutic benefits. These have been shown to reduce systemic inflammation, anxiety, depression, fatigue, and even increase gut motility. There is a marked reduction in pain of inflamed tissues with consistent use, coinciding with supporting the regeneration of collagen tissue around these areas.","Made by dissolving minerals and baking soda in warm water (~100 °F). Small soaks for targeted areas (i.e. a footbath) or full body baths can be used. Add in the maximum amount of minerals that will dissolve in the warm water for the greatest effect. Should be done for 20 minutes, 3-6 times per week."
Apple cider vinegar,"Apple cider vinegar is rich in a compound known as acetic acid, which has distinct metabolic effects. It is capable of activating intracellular cascades responsible for suppressing fat production, increasing fat and glucose metabolism, stimulating the creation of new mitochondria and reducing inflammation. Taking some apple cider vinegar with meals has been shown to reduce blood sugar, lipids and even waist circumference.","1-2 tablespoons with meals. Should be dissolved in water if consumed alone, it can be a throat or stomach irritant when highly concentrated."
"High carbohydrate, low fat diet","A diet that dials back the intake of fat and emphasizes a proportional increase in the amount of carbohydrates has been repeatedly shown to improve glucose metabolism, a core feature of good health.

Carbohydrates are vital for lowering the stress systems, like the HPA axis and adrenaline/noradrenaline. Carbohydrates are also imperative for proper thyroid hormone production and metabolism. Finally, they serve as a key source of fuel for the immune system, and for several cells in the gut, which maintains a healthy digestive environment.

Fat, while important for many functions, spurs the production of bile acids. In the case of digestive issues, bile acid metabolism and absorption is often impaired, and as a result they can directly cause damage to the gut. Additionally, bile acids can trigger production of serotonin, making higher fat intake a cause of various symptoms. Higher fat meals can also promote the absorption of endotoxin from the gut, potentially contributing to an inflammatory response. Keeping fat intake to a lower level can thus help with digestive symptoms.","Focus on lean animal proteins and simple carbohydrates, which will be easy to digest and are low in fat. Animal proteins include different cuts of beef, lamb, bison, elk and venison, eggs, shellfish and fish, low fat cottage cheese and 0% Greek yogurt. 

Some simple carbohydrate sources would be fruits like grapes, apples, pineapples and oranges, fruit juices, honey, cane sugar, and very well-cooked white rice and potatoes. 

Fat is abundant in fatty meats, cream, whole milk, cheese, butter, oils, dressings, sauces and the vast majority of restaurant or packaged foods. Opting for leaner animal proteins and adding minimal extra fat to carb sources or vegetables is the best way to reduce fat content of the diet.

Fat should be limited to under 70g daily. Carb and protein sources can be consumed with no restriction.

See the uploaded diet materials for more thorough guidance."
