Supplement or Pharmaceuticals,Rationale,,Dosage/Notes,Provider
Daily Thorne Basic Nutrients 2/day. ,"Micronutrient intake, absorption and retention may be suboptimal in states of poor digestion or metabolism. A broad spectrum nutritional supplement can help to cover many possible deficiencies.",,,Thorne
Liposomal Glutathione,"Glutathione is the body’s master antioxidant, crucial for neutralizing free radicals, maintaining mitochondrial function, and recycling other antioxidants like vitamins C and E. A liposomal glutathione supplement improves absorption by protecting it through digestion and delivering it directly into cells. Supplementing can be especially beneficial for detoxification, as glutathione binds to heavy metals, mycotoxins, and other harmful compounds to support liver function and safe excretion.",,,"BodyBio, use code ""PRISM111"" for 15% off."
Ivermectin,"Ivermectin is a broad-spectrum antiparasitic that targets nerve and muscle channels in parasites, causing paralysis and death. It is widely used to treat intestinal worms, filarial infections, and external parasites like scabies and lice. In cases of suspected parasitic gut infection, ivermectin can be an effective option to clear the organism and relieve symptoms.",,"ReliableRx

When ordering, a prescription or doctor is not necessary, simply pay and the product will arrive without submitting that information.

Delivery times may be several weeks. Consider implementing other recommendations listed in the meantime. Pausing your package and returning later, to not waste time, is also an option.
        ",
L-Arginine,"L-arginine is a naturally occuring amino acid. Oral L-arginine may help alleviate Raynaud’s by enhancing nitric oxide (NO) production, which promotes vasodilation and improves blood flow to the extremities. In Raynaud’s, especially the secondary form, endothelial dysfunction reduces NO availability, leading to exaggerated vasoconstriction. Supplementing arginine provides the substrate for nitric oxide synthase, supporting vascular relaxation and reducing symptom severity.",,"Starting at 1 to 2 g daily, titrate up to 8 to 9 g daily.","PureBulk, use code ""PRISM"" at checkout for 10% off"
Topical Kefir,"Kefir is a fermented dairy product which is rich in lactobacillus and bifidobacterium type probiotics. These microbes help to shift the balance of immune cells from an inflammatory to a tolerant phenotype, a balance that is often disrupted in allergies and other inflammatory conditions like eczema and autoimmune conditions.",,"Topically apply ~1 tsp of kefir (can be bought at most health food stores) to the skin regions of interest, once daily.",Local
Loxstar,"LOXSTAR is a hair growth product built around cutting-edge ingredients proven to outperform Minoxidil. Its core is the RCP Complex—a clinically validated combo of Redensyl, Capixyl, and Procapil—which showed 2.54x greater efficacy than high-dose Minoxidil in human trials. Two unique peptides, Biopeptide (Biotin-GHK) and Acetyl Tetrapeptide-3, respectively stimulate hair growth and anchor the hair to prevent shedding.

Key supporting ingredients include:

Topical Melatonin: Enhances follicular growth, reduces shedding, and acts as a potent mitochondrial antioxidant.

Rosemary Extract: Contains carnosic acid, boosts density, and matches 2% Minoxidil in clinical efficacy.

Topical Caffeine: Promotes circulation, growth signaling, and follicle preservation.

Topical Ashwagandha: Boosts density, thickness, and growth speed—outperforming even finasteride in some metrics.

Additional actives like Gotu Kola, AnaGain, Quercetin, and Amla round out the formula, each contributing to hair retention, follicular health, and accelerated regrowth.",,"Apply once daily to clean scalp after showering. Use dropper to place pea size on thinning areas, massage for 30 seconds, then let dry for 5 minutes before styling. Most users see reduced shedding by week 4, thicker hair by week 8, and new growth by week 12.","Loxstar, use coupon code ""ANALYZE"" at checkout for 20% off at checkout."
TB-500,"TB-500 is a synthetic version of thymosin beta-4, a naturally occuring peptide in many tissues. It promotes tissue regeneration by increasing actin polymerization, enhancing cell migration, and reducing inflammation. It plays a key role in nerve repair by facilitating axonal growth, remyelination, and supporting Schwann cell function. This makes TB-500 especially beneficial for accelerating nerve regeneration after injury, reducing neuropathic pain, and restoring neuromuscular function. Several of its pro-healing and migration properties also allow it to help stimulate hair growth.",,Work with your primary advisor on dosing.,"Limitless Life Nootropics, use code ""PRISM7"" for 15% off"
Apigenin,"Apigenin is a phenolic compound derived from chamomile. It has demonstrated potential to help with sleep by binding to the GABA receptors in the brain, which is the primary relaxing and calming system in the nervous system.",,50 mg prior to bed,Nutricost
Biome Protect,"This supplement has a blend of probiotics and postbiotics to help reduce intestinal permeability and endotoxin by improving the bacterial composition in the gut.

Tributyrin is a compound that helps release butyrate into the gut. Butyrate is the primary metabolic fuel of the cells in the colon. This gives it a few key actions. It lowers inflammation (including allergic), promotes tolerance of foods, stimulates gut mucus production, reduces gut permeability, improves motility and even favorably impacts the bacterial composition by reducing endotoxin. It has been shown to reduce symptoms in IBS, IBDs and diverticulitis such as diarrhea, pain, gas and bloating.

Pomegranate, grape, cranberry and blueberry extracts are rich in certain phenolic compounds, which serve as “food” for beneficial bacteria in the gut. These extracts have been shown to reduce endotoxin levels and heal intestinal permeability.

Spore forming, soil-based probiotics (Bacillus Coagulans) colonize the gut effectively, and have potent antimicrobial actions on pathogenic bacteria and fungi. ""        ",,2 capsules per day,Adapt Naturals
N-Acetyl Glucosamine,"N-acetylglucosamine is a compound that helps form the protective mucus layer in the gut. This reduces the permeability of the intestinal lining, reducing inflammation, and modulating immune responses. ",,"Start with 500 mg (1/4 tsp), titrating up to 2,000 mg (1 tsp) per day, divided into 2–3 doses.","PureBulk, use code ""PRISM"" at checkout for 10% off"
