Diagnostic,Implication,,Prism's Ranges ,Where to get
"Progesterone, Immunoassay ($13.95)","Progesterone is a steroid that our body produces and has a range of unique protective effects for our health. Progesterone opposes the HPA axis and estrogen at several levels, inhibits mast cell activity, and is critical for brain growth and development. Progesterone has potent calming, anti-inflammatory, anxiolytic and anti-addiction effects.",,,
Whole blood glutathione ($125.25),"Glutathione is known as the body's master antioxidant and detoxifying agent. Its levels tend to decline with inflammatory and oxidative stress driven conditions, and its levels rise when antioxidant status is robust.",,,
ERMI,The ERMI test (Environmental Relative Moldiness Index) is used to assess mold contamination in indoor environments by analyzing dust samples for DNA of 36 mold species—26 associated with water damage and 10 commonly found indoors. It provides a single numerical score that helps quantify the relative mold burden compared to national baseline levels. This score can guide remediation decisions and is often used in health investigations related to mold exposure. ,,,EnviroBiomics
Serum Folate ,"Folate (vitamin B9) plays a critical role in methylation, which is needed for neurotransmitter production, DNA synthesis, preventing anemia and metabolizing homocysteine. This test measures folate in the cell free portion of the blood (serum).",,3.4-7 ng/mL,
Tickborne Diseases Test,"This panel measures several types of antibodies and RNA levels. Antibodies are proteins that specifically target certain pathogens, while RNA is genetic material from those pathogens. In this instance, both are for tickborne pathogens, including Borrelia (which causes Lyme disease), Bartonella and Cytomegalovirus. Antibodies can be suggestive of a current, recent or past infection, depending on their pattern.",,,Vibrant Wellness
FIT 132 ($295),"The FIT 132 test measures multiple antibodies and their associated immune responses to a number of different foods. This may provide insight into what foods are triggering inflammation for a certain individual. The test also measures Candida antibodies, as well as markers of intestinal permeability and endotoxin.",,,KMBO Diagnostics
Selenium ($42.95),"Selenium is an essential trace mineral, found in foods like brazil nuts, beef and egg yolks. Selenium serves as a required cofactor in enzymes that activate thyroid hormones and have antioxidant roles. This test measures selenium in the serum, the cell free portion of the blood, and is a good indicator of short term selenium intake. Low serum selenium can lead to a greater risk of hypothyroidism, infection, cognitive issues, arthritis, and several other issues. High levels suggest an excessive dietary intake.",,,
IGF-1,"IGF-1 (Insulin-like Growth Factor 1) is a key marker of growth hormone (GH) activity. In young men, low IGF-1 may indicate GH deficiency or poor nutritional/metabolic status, potentially impairing height, muscle growth, and bone density.",,,
"Selenium, RBC ($67)","Selenium is an essential trace mineral, found in foods like brazil nuts, beef and egg yolks. Selenium serves as a required cofactor in enzymes that activate thyroid hormones and have antioxidant roles. This test measures selenium in the red blood cells, a good indicator of tissue levels or long term selenium storage in the body.",,,
Advanced Oxidative Stress Test ($275),"The Advanced Oxidative Stress profile measures multiple indicators of oxidative stress rom whole blood and urine.

Glutathione is the body’s master antioxidant. It is a small peptide that becomes oxidized when defending against oxidative stress. Thus, a higher amount of oxidized glutathione relative to reduced glutathione is indicative of greater oxidative stress.
F2-isoprostane is a product of the peroxidation of polyunsaturated fats. This lipid peroxidation process, and therefore higher F2-isoprostane levels, is a result of oxidative stress.
8-OH-2deoxyguanosine is a product of DNA damage. This process, and therefore higher 8-OH-2deoxyguanosine levels, is a result of oxidative stress.",,,Precision Point Diagnostics
ANA Screen IFA with Reflex to Titer and Pattern ($38.86),"Antinuclear antibodies (ANAs), are immune components that target the cell nucleus. Normally, the immune system generates antibodies to combat foreign proteins, but in conditions of autoimmune disease, the body produces antibodies against the body's own tissue.",,,Ulta Lab Tests
Blood pressure,"Blood pressure is a sensitive metric for stress and healthy metabolism. Blood pressure becomes elevated in response to elevations in the HPA axis, serotonin, adrenaline/noradrenaline, parathyroid hormone and estrogen. It is also directly elevated under conditions of poor glucose metabolism and obesity. Blood pressure tends to be lowered by dietary magnesium, potassium, vitamin D, sunlight exposure, and progesterone.",,100-120/60-90 mmHg,
Magnesium (Serum) ($4.95),"A metric for the amount of magnesium contained in the cell free portion of the blood. Serum magnesium is not always reflective of magnesium levels in the body, as magnesium is primarily contained within cells with proper metabolism and low stress. Elevated serum magnesium can thus be the result of poor metabolism and stress, causing cells to lose magnesium and having it be retained in the serum.",,,Ulta Lab Tests
Ceruloplasmin ($23.95),"The primary copper carrying protein in the blood. Copper is vital for mitochondrial energy production and antioxidant function, but in excess it can contribute to oxidative stress. Ceruloplasmin is increased by inflammation and estrogen, while low levels suggest copper deficiency. ",,,Ulta Lab Tests
Copper ($45.95),"Copper is a trace mineral involved in mitochondrial energy production, antioxidant defense, and immune function. However, its levels can become elevated during times of inflammation, as the immune system requires large amounts of copper to kill pathogens and mobilize iron.",,,
PSA Total ($9.45),Prostate-specific antigen (PSA) is an enzyme secreted by the prostate gland in men. Its levels can rise in cases of prostate cancer or other prostate conditions such as prostatitis or benign prostatic hyperplasia.,,,
Apolipoprotein B (ApoB),"Apolipoprotein B (ApoB) is a protein that is attached to molecular ""boats"" known as lipoproteins. These lipoproteins circulate in the blood and carry many things, most notably cholesterol. The levels of ApoB are thus indicative of the amount of cholesterol carrying lipoproteins in the blood, as opposed to metrics like LDL cholesterol, which measures the amount of cholesterol in these lipoproteins.",,,
"Albumin, Random Urine with Creatinine ($28.95)","Albumin is one of the major circulating proteins in the body, and is normally not present at all in urine. Elevated levels in the urine suggest damage to the kidneys, as they lose their ability to discriminate what gets filtered out in the urine.",,,Ulta Lab Tests
"Microalbumin, 24-Hour Urine without Creatinine ($20)","Microalbumin is one of the major circulating proteins in the body, and is normally not present at all in urine. Elevated levels in the urine suggest damage to the kidneys, as they lose their ability to discriminate what gets filtered out in the urine.",,,Ulta Lab Tests
Cystatin C with eGFR ($37.95),"Cystatin C is a protein that is typically filtered out of the kidney, so elevated levels are suggestive of kidney damage. The Glomerular Filtration Rate (GFR) is a calculation that's often done using the results from the Creatinine test. It provides the best overall assessment of kidney function by estimating how much blood passes through the glomeruli (tiny filters in the kidneys) each minute. Low levels indicate limited filtration capacity, suggesting poor kidney function.",,,
Hair mineral test ($99.98),"Accumulation of heavy metals can result in a variety of seemingly unexplainable symptoms by inducing oxidative stress and tissue damage, replacing nutritional minerals in proteins and inducing chronic inflammation. This heavy metal panel determines the levels of the key heavy metals in hair. Testing for minerals in hair may provide an idea of their content in cells and tissues, while blood tests only capture their amounts in the transport fluid. Be sure to select ""HAIR"" and ""TOXIC""",,,Idealabsdc
Plasma Zinc ($22.95),"The metric which most accurately depicts zinc status. Zinc levels can become depleted with stress, aging, oxidative stress, infection and other conditions which demand more zinc. Zinc is critical for the structure of the gut, can reduce endotoxin and also has anti-inflammatory, antioxidant and pro-androgen effects. Zinc helps to prevent the inactivation of thyroid hormone, promoting the conversion of T4 into the active T3 thyroid hormone. Zinc is also an important nutrient for the immune system, supporting the rapid proliferation, differentiation and antimicrobial properties of the immune cells. Zinc supplementation can also be used to alleviate fungal overgrowths and skin issues like acne, dry skin and eczema. ",,,Ulta Lab Tests
Micronutrient Panel ($399),"This panel measures the cellular and extracellular blood levels of nearly every vitamin and mineral, along with a few amino acids, endogenous antioxidants, cofactors, and fatty acids. It is the most comprehensive nutrient evaluation on the market currently. Not only do the levels of these factors imply nutrient deficiencies, they can also provide important information on potential impairments in metabolism.",,,Vibrant Wellness
Fibrinogen Activity ($16.95)," The Fibrinogen Activity test, also known as the Clauss method or Fibrinogen assay, measures the functional activity of fibrinogen, a protein involved in blood clot formation. Fibrinogen plays a crucial role in maintaining proper coagulation and hemostasis. The Fibrinogen Activity test helps assess the functionality of fibrinogen and is used to evaluate bleeding disorders and monitor certain conditions related to clotting abnormalities.",,,Ulta Lab Tests
Potassium ($3.25),"Potassium is the most abundant mineral inside of cells, typically resident in cells when they are in a properly energized, low stress state. This test measures potassium in the serum, or outside of cells. Thus, elevated levels of serum potassium are indicative of poor energy production or stress, as the cells lose potassium to the extracellular fluids. This can lead to heart beat irregularities and weakness. Low potassium is indicative or poor dietary intake or excessive potassium loss through the kidneys and gut.",,,Ulta Lab Tests
"Vitamin D, 25-Hydroxy, Total, Immunoassay ($24.12)","25-Hydroxy Vitamin D is the best measurement of vitamin D status. Vitamin D plays vital roles in cell differentiation, the process by which cells become specialized in specific roles. This is especially important for cells of systems in the body that multiply quickly or have multiple different types, like those in the gut, skin and immune system. Vitamin D also controls calcium homeostasis which means it has an impact on cognitive function, heart and bone health. Insufficient vitamin D can lead to a worsening of metabolism, and elevations in several stress hormones.",,40-90 ng/mL,Ulta Lab Tests
Vitamin B12 (Cobalamin) ($8.95),"Vitamin B12 plays a critical role in methylation, which is needed for neurotransmitter production, DNA synthesis, preventing anemia, branch chain amino acid metabolism and clearing homocysteine. Vitamin B12 is synthesized by bacteria, and thus its chronically elevated levels can indicate the presence of bacterial overgrowth in the intestine.",,,
"LDL Cholesterol, Serum ","LDL cholesterol is the most common circulating form of cholesterol. LDL cholesterol can be elevated in states of stress or hypothyroidism, since thyroid hormones help utilize cholesterol to produce stress reducing hormones. It can also be too low, which is associated with infection and total mortality.",,70-150 mg/dL,Labcorp/Quest
Triglycerides,"Triglycerides are the most common type of fat in the blood. Triglycerides are produced by the liver from circulating free fatty acids from fat tissue, which are released during stress and insulin resistance. Triglycerides can be utilized by tissues for energy, or taken back up by fat tissue. High levels can indicate insulin resistance, because insulin suppresses the release of free fatty acids and allows for the re-uptake of them in fat tissue. ",,<80 mg/dL,
Triglyceride/HDL,The ratio of Triglycerides to HDL cholesterol can be elevated in conditions of impaired glucose metabolism.,,,Labcorp/Quest
Total Tox Burden ($499),"The Total Tox Burden Test is a urine-based panel that comprehensively assesses levels of mycotoxins, heavy metals, and environmental toxins in the body. These toxins are capable of inducing oxidative stress, causing mitochondrial dysfunction and disrupting hormonal systems such as the HPA axis and thyroid hormones, leading to countless symptoms. Toxins will likely be tested if there is suspicion of exposure or if symptoms are inexplicable by other causes. High exposure to mycotoxins typically comes from foods like grains, nuts, and coffee, or living in water-damaged buildings with mold. Heavy metals can accumulate from contaminated water, seafood, industrial environments, or old pipes and paint. Environmental toxins are often found in plastics, pesticides, cleaning products, cosmetics, and polluted air. ",,,Vibrant America
HDL Cholesterol,"HDL is type of lipoprotein that carries cholesterol and other fat soluble components to the liver for storage or detoxification. HDL also plays a role in the immune system, dampening the inflammatory response and directly aiding in the clearance of pathogens. It is generally considered to be protective, as low levels can indicate problems with glucose metabolism. However, high levels are a risk as well, potentially indicating a high toxic burden or infection.",,40-80 mg/dL,
Lipid Panel ($21.95),"This test measures LDL and HDL cholesterol, as well as triglycerides. LDL cholesterol is the most common circulating form of cholesterol. LDL cholesterol can be elevated in states of stress or hypothyroidism, since thyroid hormones help utilize cholesterol to produce stress reducing hormones. It can also be too low, which is associated with infection and total mortality. Triglycerides are the most common type of fat in the blood. High levels can indicate problems with glucose metabolism. HDL is a type of lipoprotein that carries cholesterol and other fat-soluble components to the liver for storage or detoxification. Low levels can indicate problems with glucose metabolism, while high levels can indicate a toxic burden, including endotoxin.",,,Ulta Lab Tests
Serum Phosphate,"High levels are indicative of hypothyroidism and hyperparathyroidism and impaired steroid synthesis, and thyroid supplementation can lower cholesterol",,,Labcorp/Quest
Absolute Lymphocytes,"Absolute Lymphocytes measures the number of lymphocytes. Lymphocytes are white blood cells that exist in both the blood and the lymphatic system and are the keys to adaptive immunity, the recognition and memory of pathogens. Lymphocytes are divided into three types. The B lymphocytes (B cells) are antibody-producing cells that are essential for acquired, antigen-specific immune responses. The second type are T lymphocytes (T cells) some T cells help the body distinguish between ""self"" and ""non-self"" antigens while others initiate and control the extent of an immune response, boosting it as needed and then slowing it as the condition resolves. Other types of T cells directly attack and neutralize virus-infected or cancerous cells. The third type are natural killer cells (NK cells) that directly attack and kill abnormal cells such as cancer cells or those infected with a virus. High lymphocyte counts can be the result of infection or stress, while low levels can be the result of vitamin D deficiency.",,1612.5-3137.5 cells/uL,
Monocytes,A type of immune cell that specializes in responding to microbial infection. High levels can indicate an underlying overgrowth of bacteria in the gut or outright infection.,,,
Absolute Basophils,"Absolute Basophils measures the number of basophils. Basophils are a type of immune cell that participates in intestinal inflammation and allergies, secreting serotonin and histamine. Levels out of range can indicate an allergenic response or inflammation, as the basophils get produced and used up quickly during these events. High levels can also be the result of stress, while low levels can indicate hypothyroidism.",,50-150 cells/uL,
Advanced Intestinal Barrier Assessment ($329),"This test provides multiple metrics that can assess intestinal permeability:

Zonulin: Zonulin is released to initiate intestinal permeability. Elevated levels suggest a ""leaky gut"" and compromised gut barrier integrity.
DAO (Diamine Oxidase): An enzyme that breaks down histamine in the gut. Low levels can indicate impaired histamine clearance and histamine intolerance.
LPS IgM: Indicates a recent or acute systemic immune response to endotoxin (LPS). Suggests a recent gut barrier breach or infection.
LPS IgG: Reflects past or chronic exposure to endotoxin. Can indicate long-term endotoxin translocation and immune activation.
LPS IgA: Suggests mucosal immune activation in response to LPS.",,,Precision Point Diagnostics
